,geneSymbol,moduleColor,GSsubtype,p.GSsubtype,MM.turquoise,p.MMturquoise,MM.green,p.MMgreen,MM.yellow,p.MMyellow,MM.grey,p.MMgrey,MM.blue,p.MMblue,MM.pink,p.MMpink,MM.red,p.MMred,MM.black,p.MMblack,MM.brown,p.MMbrown
UNC119B,UNC119B,black,-0.00370038062939586,0.942836202777498,0.138973665896518,0.00680678957369399,0.409289990777866,1.06398437642162e-16,-0.172012469575233,0.000784252937933883,0.341432014309756,8.95916948304233e-12,-0.199681028633092,9.27477865530759e-05,0.073393013973098,0.154412133548831,-0.0101656674689019,0.843832486242634,-0.354900012463481,1.16080124067896e-12,-0.0250586621081897,0.627209106299936
XAF1,XAF1,black,-0.0129288477133737,0.802167070283227,-0.0745674080345198,0.147905398011975,-0.115239578521725,0.0250544276370138,0.0481183903531934,0.350835166405962,-0.135537299049966,0.00832478719196857,0.615116836818168,1.0172070563405e-40,0.151273046833891,0.00319497548059188,0.112349118626791,0.028962167089737,0.906127575327028,1.45324209466451e-142,0.147485687641202,0.00405715135549909
SAMD9L,SAMD9L,black,-0.0159104308999613,0.757831880390286,-0.0189579526430889,0.713322891481581,0.120058600046855,0.0195472487908995,-0.110962747822852,0.0310148498129391,0.0469429422470613,0.362741169384077,0.710173868856116,2.85100676749992e-59,0.133127362940102,0.00956243300988981,0.213569361218523,2.82770265419562e-05,0.745200394231762,3.74240916114064e-68,0.264028498795117,1.89840912778036e-07
IFIT3,IFIT3,black,0.022306669500763,0.66551708768726,-0.0144735267897258,0.779109076821725,-0.0365809533959697,0.478264347126388,0.0338487832734784,0.511757187543516,-0.160166606910384,0.00178487872582869,0.540530348129589,4.62157187054593e-30,-0.0120260396765241,0.815724915544728,0.0853566280111034,0.0975090357963006,0.945423737055081,3.38594159563307e-185,0.123210507667177,0.0165438703874763
IFI27,IFI27,black,0.0245334233426714,0.634447660871975,-0.058526650347724,0.256336457258585,-0.238883912242894,2.63712882644623e-06,0.10193686431361,0.0476499556925079,-0.288832123307383,1.06971220942635e-08,0.393715290374974,1.82284629325111e-15,-0.0671735363010218,0.192523644003056,0.00917134753500257,0.858939295869302,0.820734635971189,1.91863086740345e-93,0.0611288676044879,0.235758991699934
IFITM3,IFITM3,black,0.0341598242885462,0.507883700542923,0.0194761117738355,0.705846195052202,-0.302050426658573,2.05186602294534e-09,-0.163593123219314,0.0014148330581581,-0.059381465242155,0.249444151464445,0.291913044854154,7.33458803132246e-09,-0.0296255574352604,0.565829021535462,0.145118680571265,0.00469767697311252,0.596236661432542,9.34808888286432e-38,0.282559443382452,2.27462260587015e-08
RSAD2,RSAD2,black,-0.0354389947948108,0.492116338470493,-0.114311033579536,0.0262570034583564,-0.0581804996354167,0.259164571364128,0.0842277963425392,0.102036768843002,-0.165006903566202,0.00128381915249575,0.533982106620518,3.00330050188944e-29,-0.0875208891992098,0.0892764209698529,0.0523946846137282,0.309632561458434,0.835902392074843,5.4244209179575e-100,0.253239819774654,6.07588174965788e-07
IFIT2,IFIT2,black,0.036981814033086,0.473452708854494,0.0387958031744976,0.452013962333683,0.0219564285327224,0.670458181967251,-0.0610485571620871,0.236376122060362,-0.122083623190322,0.0175677588430691,0.502716044896163,1.33014395956454e-25,-0.01669772375695,0.746249799634408,0.121799292200859,0.0178346830817241,0.910248212637453,4.69512163040075e-146,0.142809889825359,0.00540888464575081
OAS2,OAS2,black,0.0391806736477964,0.447536675914385,0.0213275273098786,0.679366143933709,-0.0107645407362281,0.834760904657579,-0.00907147114547571,0.86045967106809,-0.177149979828168,0.000539797996850043,0.520126698488407,1.38070774668286e-27,-0.0258944543878741,0.61576422932203,0.0949398255064211,0.0651984716186184,0.934970047256315,2.53034215662095e-171,0.114128819165031,0.0264987362328667
STAT1,STAT1,black,-0.0534831775338735,0.299675078389574,-0.156046588284105,0.00234619101231982,0.0204476867636314,0.691903456470697,0.247822874023504,1.06852112286485e-06,-0.179875617050955,0.000440905891617904,0.564083968893257,3.88071475581649e-33,-0.0469706859520894,0.362457284783155,-0.0906111591906006,0.0784979331409371,0.817046293814824,6.05612387057022e-92,-0.0323312059754138,0.530873935754467
MX1,MX1,black,-0.0579761971135094,0.260843826228363,-0.107882685124308,0.0360241085901714,-0.144306665570656,0.00493757998584064,0.145318935129418,0.00464015273073826,-0.126390908672938,0.0139304970509324,0.420565288448331,1.23761214177696e-17,-0.0296371523999509,0.565676904847201,-0.0255437743398079,0.620555135214578,0.883445371293682,7.3497937763117e-126,0.0225027401665314,0.662757267337769
ISG15,ISG15,black,0.0586330766876939,0.255471241739053,0.00599316081877001,0.907545153934827,-0.283065569849492,2.14176228265182e-08,0.0886833137206892,0.0850904699038738,-0.319969482527146,1.90875610310016e-10,0.297481180662145,3.66583274449697e-09,-0.0299072552429181,0.562138918501177,-0.0652976641264279,0.205269987126327,0.827930584101695,1.80407253624901e-96,-0.0492301616343784,0.339803969993144
NCRNA00188,NCRNA00188,black,-0.0743726579800093,0.148969735325747,-0.0138382134011215,0.788570465751682,-0.167442059666907,0.00108400846281789,-0.12696068207902,0.0135027539700604,0.353814263088512,1.37367971747677e-12,-0.14824526399255,0.00386900845427035,0.0604954349853431,0.240657394416056,-0.0204625564101731,0.691690858930385,-0.25711045271357,4.02678337520125e-07,-0.0668305636367818,0.194809751651844
TRIM22,TRIM22,black,-0.0752555669834101,0.144190832048245,-0.0940760481072079,0.067693212038919,0.066014319350568,0.200330123403181,-0.110074871170896,0.0323937723454156,0.0281624053215111,0.585179632182372,0.777779345254943,7.85167482946109e-78,0.0722112755819101,0.161175914320771,0.28791980885725,1.19514856256737e-08,0.787776529946523,3.88153579519344e-81,0.37218713916986,7.2813129842761e-14
TNFSF10,TNFSF10,black,0.083889088670322,0.103427353929198,0.172466464005984,0.000759102362472075,0.0876641444832174,0.0887517943144637,-0.307468436027635,1.01760637684451e-09,-0.124401040700613,0.0155192307615653,0.264728050266868,1.75729684643966e-07,-0.0427383603905435,0.407356055529342,0.128244944529835,0.0125807693826906,0.400925119902524,4.98474065593991e-16,0.162237232080881,0.00155190878654648
HERC6,HERC6,black,-0.0855104217424199,0.0969047459869779,-0.139953022285794,0.00642213727865052,-0.0149470211402522,0.772078631128318,0.165879934312482,0.00120858582966501,-0.0624545993515058,0.225735403073132,0.422684124928394,8.1854720156256e-18,-0.000669485957243158,0.989649184602767,0.0904298291525839,0.0790998236207774,0.772859137650224,2.88039430000445e-76,0.0929535618918834,0.0710514575494422
DDX58,DDX58,black,0.086280419781761,0.0939239743130394,0.111817460275868,0.0297351500132486,0.0897631350073804,0.0813450019597819,-0.0633841670190772,0.218890288869779,-0.0571375395089251,0.267815584575463,0.331187737654879,3.97460517070643e-11,0.0703398447960979,0.172339656310479,0.0578173858493804,0.262154335079612,0.850776161264961,4.2454183391023e-107,0.0144627217012365,0.779269723487189
IFI6,IFI6,black,0.0863137755007317,0.0937965233374189,0.0502940705738183,0.32945744884662,-0.166950508730431,0.00112187146253258,0.0846683865490167,0.100250125545532,-0.280714585020652,2.82971534015707e-08,0.2630361275572,2.11743746454515e-07,-0.0556490677105014,0.280500947870164,-0.0419933842098778,0.415587740212579,0.857328581884069,1.76576217907088e-110,-0.0699329371258223,0.174841498669618
EIF2AK2,EIF2AK2,black,-0.113091043179305,0.0279123118615795,-0.183978762795833,0.000323333582196588,0.112359748862022,0.0289468890493871,0.367754359432204,1.50488015504438e-13,-0.0830655501389219,0.106871053868408,0.307081574864277,1.07037115842538e-09,-0.0622582376898925,0.227200626581556,-0.140529658465618,0.00620487876718909,0.654916980630199,1.13741046749778e-47,-0.0759998289383022,0.140254064376758
USP18,USP18,black,-0.126710076858626,0.0136894446244475,-0.21431336382141,2.64742909879373e-05,-0.1943097836039,0.000143766381904259,0.346750228847231,4.04458000134349e-12,-0.139352102231309,0.00665577535428605,0.273417297365374,6.60856130085976e-08,-0.0802308308470394,0.119420470606812,-0.177600989072439,0.000522127145390152,0.670888034898991,9.13537968878709e-51,-0.141445275337603,0.00587342200781651
