"TERM"	"GENE"
"N0000007568"	"CCL2"
"N0000007568"	"GDF15"
"N0000007568"	"IER3"
"N0000007568"	"RAP1GAP"
"N0000007568"	"MAOB"
"N0000007568"	"MAOA"
"N0000007568"	"ZFP36"
"N0000007568"	"TSC22D3"
"N0000007568"	"PRKAG2"
"N0000007568"	"DDIT4"
"N0000007568"	"NFKBIA"
"N0000009371"	"EML3"
"N0000009371"	"HSPA8"
"N0000009371"	"CBR3"
"N0000009371"	"TARBP1"
"N0000009371"	"PHB"
"N0000009371"	"RFC2"
"N0000009371"	"DDIT4"
"N0000009371"	"POLD4"
"N0000009371"	"ANXA7"
"N0000009371"	"CHMP4A"
"N0000009371"	"INTS3"
"N0000009371"	"CCDC53"
"N0000009371"	"DNPH1"
"N0000009371"	"ATMIN"
"N0000009371"	"GLT8D1"
"N0000009371"	"ABCB6"
"N0000009371"	"ECD"
"N0000009371"	"PAFAH1B3"
"N0000009371"	"CSK"
"N0000009371"	"PYCR1"
"N0000009371"	"FARS2"
"N0000009371"	"FAHD2A"
"N0000009371"	"PRUNE"
"N0000009371"	"TMEM109"
"N0000009371"	"PARP2"
"N0000009371"	"ATP5G1"
"N0000009371"	"DECR1"
"N0000009371"	"SDHB"
"N0000009371"	"MRPL3"
"N0000009371"	"BLMH"
"N0000009371"	"MTMR4"
"N0000009371"	"OXSM"
"N0000009371"	"SOX12"
"N0000009371"	"TCEAL4"
"N0000009371"	"NHP2"
"N0000009371"	"TP53"
"N0000009371"	"SNX17"
"N0000009371"	"TTLL1"
"N0000009371"	"PPA2"
"N0000009371"	"STAMBP"
"N0000009371"	"RRP1"
"N0000009371"	"MCM10"
"N0000009371"	"PTGES2"
"N0000009371"	"CIRBP"
"N0000009371"	"MYC"
"N0000009371"	"POP4"
"N0000009371"	"POP5"
"N0000009371"	"MRPL16"
"N0000009371"	"TSR3"
"N0000009371"	"WRB"
"N0000009371"	"ABHD10"
"N0000009371"	"SNUPN"
"N0000009371"	"MRPL17"
"N0000009371"	"PNPO"
"N0000009371"	"TFF1"
"N0000009371"	"RMND5B"
"N0000009371"	"C21orf33"
"N0000009371"	"ICAM3"
"N0000009371"	"NUDT6"
"N0000009371"	"POLR3B"
"N0000009371"	"FAAP100"
"N0000009371"	"CBR1"
"N0000009371"	"NTHL1"
"N0000009371"	"RWDD2B"
"N0000009371"	"HIBCH"
"N0000009371"	"C2CD5"
"N0000009371"	"PAN2"
"N0000009371"	"METTL5"
"N0000009371"	"CDK4"
"N0000009371"	"DCLRE1A"
"N0000009371"	"TKFC"
"N0000009371"	"ZNF32"
"N0000009371"	"TRMT1L"
"N0000009371"	"BCKDK"
"N0000009371"	"BRCA1"
"N0000009371"	"PARP1"
"N0000009371"	"TMCO6"
"N0000009371"	"PRPF4"
"N0000009371"	"OSGEPL1"
"N0000009371"	"ADO"
"N0000009371"	"CDC20"
"N0000009371"	"PMVK"
"N0000009371"	"MPI"
"N0000009371"	"PSIP1"
"N0000009371"	"UMPS"
"N0000009371"	"PCNA"
"N0000009371"	"BAG3"
"N0000009371"	"MRPL24"
"N0000009371"	"TTC31"
"N0000009371"	"MRPS16"
"N0000009371"	"B4GALT7"
"N0000009371"	"FAM86B1"
"N0000009371"	"C4orf27"
"N0000009371"	"THEM6"
"N0000009371"	"MRPS34"
"N0000009371"	"TIMM8B"
"N0000009371"	"CENPB"
"N0000009371"	"TSEN2"
"N0000009371"	"TRAP1"
"N0000009371"	"TDP1"
"N0000009371"	"ARHGAP1"
"N0000009371"	"KLHDC4"
"N0000009371"	"ZDHHC6"
"N0000009371"	"COX8A"
"N0000009371"	"COG2"
"N0000009371"	"NIT2"
"N0000009371"	"ZNF185"
"N0000009371"	"EAPP"
"N0000009371"	"PIK3C2B"
"N0000009371"	"CUEDC2"
"N0000009371"	"EIF4EBP1"
"N0000009371"	"SCAND1"
"N0000009371"	"RRP1B"
"N0000009371"	"TINF2"
"N0000009371"	"PCYT2"
"N0000009371"	"ADH5"
"N0000009371"	"PIN1"
"N0000009371"	"NDUFAF3"
"N0000009371"	"SCCPDH"
"N0000009371"	"CHEK2"
"N0000009371"	"EXOSC4"
"N0000009371"	"RBBP7"
"N0000009371"	"LIG1"
"N0000009371"	"PPP2R4"
"N0000009371"	"POLG2"
"N0000009371"	"AMDHD2"
"N0000009371"	"COG4"
"N0000009371"	"PLA2G15"
"N0000009371"	"SSSCA1"
"N0000009371"	"DNM1L"
"N0000009371"	"MTIF2"
"N0000009371"	"NUBPL"
"N0000009371"	"SLC30A9"
"N0000009371"	"ALG6"
"N0000009371"	"PSMG1"
"N0000009371"	"SMARCD2"
"N0000009371"	"SUCLG1"
"N0000009371"	"MRPL19"
"N0000009371"	"ABCF3"
"N0000009371"	"FKTN"
"N0000009371"	"BCAT2"
"N0000009371"	"RNASEH2A"
"N0000009371"	"MRPS11"
"N0000009371"	"UBL4A"
"N0000009371"	"RMDN1"
"N0000009371"	"LAGE3"
"N0000009371"	"RUVBL1"
"N0000009371"	"MAGEF1"
"N0000009371"	"GINS2"
"N0000009371"	"TBL3"
"N0000009371"	"NLRX1"
"N0000009371"	"ETFB"
"N0000009371"	"ADSL"
"N0000009371"	"GALE"
"N0000009371"	"ARFRP1"
"N0000009371"	"TSTA3"
"N0000009371"	"PPIE"
"N0000009371"	"LRRC20"
"N0000009371"	"TCFL5"
"N0000009371"	"MTG1"
"N0000009371"	"PCBD1"
"N0000009371"	"GALK1"
"N0000009371"	"CRYZ"
"N0000009371"	"FEN1"
"N0000009371"	"SPDEF"
"N0000009371"	"NPDC1"
"N0000009371"	"KIAA0391"
"N0000009371"	"TWF2"
"N0000009371"	"DENND2D"
"N0000009371"	"ELOVL6"
"N0000009371"	"SUV39H1"
"N0000009371"	"FAM63A"
"N0000009371"	"PAAF1"
"N0000009371"	"RPP40"
"N0000009371"	"CCDC85B"
"N0000009371"	"XBP1"
"N0000009371"	"PDCD5"
"N0000009371"	"MRPS2"
"N0000009371"	"DLD"
"N0000009371"	"NUDT18"
"N0000009371"	"SLC37A4"
"N0000009371"	"POLA2"
"N0000009371"	"AKR7A2"
"N0000009371"	"EFCAB11"
"N0000009371"	"IKBKAP"
"N0000009371"	"DDX50"
"N0000009371"	"B3GNTL1"
"N0000009371"	"STOML1"
"N0000009371"	"CHMP7"
"N0000009371"	"SLC24A1"
"N0000009371"	"CNDP2"
"N0000009371"	"HAUS7"
"N0000009371"	"RFC4"
"N0000009371"	"IMP3"
"N0000009371"	"IFRD2"
"N0000009371"	"GRWD1"
"N0000009371"	"PRR7"
"N0000009371"	"CANT1"
"N0000009371"	"TADA2A"
"N0000009371"	"PFKL"
"N0000009371"	"DOLK"
"N0000009371"	"CCHCR1"
"N0000009371"	"B4GAT1"
"N0000009371"	"CTSL"
"N0000009371"	"ITGAE"
"N0000009371"	"MRPL46"
"N0000009371"	"CEBPA"
"N0000009371"	"EPRS"
"N0000009371"	"PWP1"
"N0000009371"	"POLR2I"
"N0000009371"	"POFUT1"
"N0000009371"	"GMPPA"
"N0000009371"	"CHAF1B"
"N0000009371"	"PCYOX1L"
"N0000009371"	"HAUS4"
"N0000009371"	"NUP37"
"N0000009371"	"MAPKAPK3"
"N0000009371"	"RFX5"
"N0000009371"	"BAD"
"N0000009371"	"MRPL12"
"N0000009371"	"TRAPPC4"
"N0000009371"	"PLK1"
"N0000009371"	"VIPAS39"
"N0000009371"	"NIPSNAP1"
"N0000009371"	"NUDT1"
"N0000009371"	"WFS1"
"N0000009371"	"UNG"
"N0000009371"	"OXLD1"
"N0000009371"	"IVD"
"N0000009371"	"TXNDC9"
"N0000009371"	"SIRT5"
"N0000009371"	"CSE1L"
"N0000009371"	"NUDCD3"
"N0000009371"	"XYLT2"
"N0000009371"	"CCNA2"
"N0000009371"	"RPA1"
"N0000009371"	"POLE2"
"N0000009371"	"TTC1"
"N0000009371"	"WDR61"
"N0000009371"	"TBC1D16"
"N0000009371"	"TRAPPC12"
"N0000009371"	"BDH1"
"N0000009371"	"TCEA2"
"N0000009371"	"CHMP6"
"N0000009371"	"KIF20A"
"N0000009371"	"SLC25A46"
"N0000009371"	"FDFT1"
"N0000009371"	"IKBKE"
"N0000009371"	"THYN1"
"N0000009371"	"SPR"
"N0000009371"	"GPR55"
"N0000009371"	"PHIP"
"N0000009371"	"ID2"
"N0000009371"	"ATP6V1C1"
"N0000009371"	"EGR1"
"N0000009371"	"ROCK2"
"N0000009371"	"PPP1R13B"
"N0000009371"	"UFM1"
"N0000009371"	"ZMYM2"
"N0000009371"	"IP6K1"
"N0000009371"	"BRD4"
"N0000009371"	"FOSL1"
"N0000009371"	"SAT1"
"N0000009371"	"ITCH"
"N0000009371"	"HBP1"
"N0000009371"	"MAP1LC3B"
"N0000009371"	"RB1CC1"
"N0000009371"	"LGALS8"
"N0000009371"	"PTPRK"
"N0000009371"	"KIAA0907"
"N0000009371"	"PIAS1"
"N0000009371"	"BNIP2"
"N0000009371"	"ZNF143"
"N0000009371"	"RELB"
"N0000009371"	"KDM5A"
"N0000009371"	"PRKACA"
"N0000009371"	"PNP"
"N0000009371"	"HIST1H4H"
"N0000009371"	"CD55"
"N0000009371"	"PSME4"
"N0000009371"	"ZFX"
"N0000009371"	"TIPARP"
